locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
slr0818-5UTR;slr0818;NP_441450;NA;26;1;NA;NA;NA;NA;unknown;1;7;no no;slr0992 slr0877 slr0317 slr1827 slr1534 sll1577 sll1987
slr0821;slr0821;NP_441456;9.7249;276;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll0864 sll1536 sll0864
slr0821-3UTR;slr0821;NP_441456;NA;121;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll0864 sll1536 sll0864
slr0821-5UTR;slr0821;NP_441456;NA;2;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll0864 sll1536 sll0864
slr0839;slr0839;NP_442453;43.924;1164;0;NA;NA;NA;NA;TM;0;5;no no;sll1135 slr1235 sll0819 sll0223 sll0821
slr0839-3UTR;slr0839;NP_442453;NA;192;0;NA;NA;NA;NA;TM;0;5;no no;sll1135 slr1235 sll0819 sll0223 sll0821
slr0839-5UTR;slr0839;NP_442453;NA;37;0;NA;NA;NA;NA;TM;0;5;no no;sll1135 slr1235 sll0819 sll0223 sll0821
slr0844;slr0844;NP_442460;74.399;2046;15;NA;NA;NA;NA;TM;16;7;no no;slr0108 slr0335 slr1128 sll1327 sll1737 sll0413 slr1204
slr0844-3UTR;slr0844;NP_442460;NA;135;15;NA;NA;NA;NA;TM;16;7;no no;slr0108 slr0335 slr1128 sll1327 sll1737 sll0413 slr1204
slr0844-5UTR;slr0844;NP_442460;NA;31;15;NA;NA;NA;NA;TM;16;7;no no;slr0108 slr0335 slr1128 sll1327 sll1737 sll0413 slr1204
slr0844-as;slr0844;NP_442460;NA;92;15;NA;NA;NA;NA;TM;16;7;no no;slr0108 slr0335 slr1128 sll1327 sll1737 sll0413 slr1204
slr0854;slr0854;NP_441110;56.025;1467;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;slr1117 sll1427 slr1536
slr0854-as;slr0854;NP_441110;NA;63;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;slr1117 sll1427 slr1536
slr0872;slr0872;NP_441140;41.515;1119;0;NA;NA;NA;NA;PM;0;4;no no;slr0250 slr1963 slr0744 slr1778
slr0872-as;slr0872;NP_441140;NA;99;0;NA;NA;NA;NA;PM;0;4;no no;slr0250 slr1963 slr0744 slr1778
slr0872-as2;slr0872;NP_441140;NA;91;0;NA;NA;NA;NA;PM;0;4;no no;slr0250 slr1963 slr0744 slr1778
slr0876;slr0876;NP_440916;45.252;1230;0;NA;NA;NA;NA;unknown;0;5;no no;slr1964 slr1853 sll1360 slr0889 slr1656
slr0876-3UTR;slr0876;NP_440916;NA;108;0;NA;NA;NA;NA;unknown;0;5;no no;slr1964 slr1853 sll1360 slr0889 slr1656
slr0876-5UTR;slr0876;NP_440916;NA;58;0;NA;NA;NA;NA;unknown;0;5;no no;slr1964 slr1853 sll1360 slr0889 slr1656
slr0909;slr0909;NP_442390;52.495;1353;0;NA;NA;NA;NA;unknown;0;4;no no;sll1799 sll1699 sll1584 ssr0692
slr0919;slr0919;NP_442397;NA;456;0;NA;NA;NA;NA;NA;NA;5;no no;slr1917 slr1235 slr1076 sll1173 sll1119
slr0923;slr0923;NP_442404;12.638;339;0;NA;NA;NA;NA;Soluble proteins;0;6;no no;sll1466 slr1356 sll0262 sll1546 sll1611 slr1356
slr0923-5UTR;slr0923;NP_442404;NA;78;0;NA;NA;NA;NA;Soluble proteins;0;6;no no;sll1466 slr1356 sll0262 sll1546 sll1611 slr1356
slr0974;slr0974;NP_440210;20.559;534;0;6;93;0.52247191;VLXT;unknown;0;2;no no;sll1864 slr0662
slr0974-as;slr0974;NP_440210;NA;31;0;6;93;9;VLXT;unknown;0;2;no no;sll1864 slr0662
slr0975;slr0975;NP_440211;NA;858;0;4;84;0.293706294;VLXT;NA;NA;3;no no;sll0790 sll0418 sll1272
slr0975-5UTR;slr0975;NP_440211;NA;19;0;4;84;13.26315789;VLXT;NA;NA;3;no no;sll0790 sll0418 sll1272
slr0990;slr0990;NP_441941;44.072;1170;0;NA;NA;NA;NA;unknown;0;4;no no;sll7055 sll0314 slr0280 sll1800
slr0990-5UTR;slr0990;NP_441941;NA;91;0;NA;NA;NA;NA;unknown;0;4;no no;sll7055 sll0314 slr0280 sll1800
slr1032;slr1032;NP_440488;13.04;354;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;slr0431 slr7023 sll0656 sll0149 sll0776
slr1037;slr1037;NP_440496;14.322;396;0;NA;NA;NA;NA;unknown;0;11;no no;slr1393 slr0653 slr0252 sll0242 slr0191 sll1371 slr0554 slr0697 slr1489 slr1367 slr1047
slr1037-3UTR;slr1037;NP_440496;NA;118;0;NA;NA;NA;NA;unknown;0;11;no no;slr1393 slr0653 slr0252 sll0242 slr0191 sll1371 slr0554 slr0697 slr1489 slr1367 slr1047
slr1037-5UTR;slr1037;NP_440496;NA;53;0;NA;NA;NA;NA;unknown;0;11;no no;slr1393 slr0653 slr0252 sll0242 slr0191 sll1371 slr0554 slr0697 slr1489 slr1367 slr1047
slr1055;slr1055;NP_440360;148.55;3996;0;26;360;0.27027027;VLXT;Soluble proteins;0;4;no no;slr0653 sll1689 sll1803 slr0445
slr1055-3UTR;slr1055;NP_440360;NA;30;0;26;360;36;VLXT;Soluble proteins;0;4;no no;slr0653 sll1689 sll1803 slr0445
slr1055-5UTR;slr1055;NP_440360;NA;57;0;26;360;18.94736842;VLXT;Soluble proteins;0;4;no no;slr0653 sll1689 sll1803 slr0445
slr1062;slr1062;NP_440234;NA;348;0;4;17;0.146551724;VLXT;NA;NA;2;no no;slr1423 sll0144
slr1096;slr1096;NP_440075;50.832;1425;0;10;83;0.174736842;VLXT;Soluble proteins;0;2;no no;sll1841 sll1671
slr1096-5UTR;slr1096;NP_440075;NA;14;0;10;83;17.78571429;VLXT;Soluble proteins;0;2;no no;sll1841 sll1671
slr1122;slr1122;NP_439967;28.176;753;0;9;117;0.466135458;PV2;unknown;0;4;no no;slr0249 slr2098 sll1800 sll1672
slr1122-3UTR;slr1122;NP_439967;NA;120;0;9;117;2.925;PV2;unknown;0;4;no no;slr0249 slr2098 sll1800 sll1672
slr1122-5UTR;slr1122;NP_439967;NA;70;0;9;117;5.014285714;PV2;unknown;0;4;no no;slr0249 slr2098 sll1800 sll1672
slr1129;slr1129;NP_439978;74.944;2025;0;12;341;0.505185185;VLXT;Small ribosomal protein;0;8;no no;slr1557 slr0833 slr0993 slr0653 slr0955 slr0083 sll1143 slr1557
slr1147;slr1147;NP_440624;NA;1305;0;NA;NA;NA;NA;NA;NA;8;no no;sll0797 sll1124 slr1783 sll0021 slr0335 ssl2502 slr1783 sll0797
slr1147-as;slr1147;NP_440624;NA;80;0;NA;NA;NA;NA;NA;NA;8;no no;sll0797 sll1124 slr1783 sll0021 slr0335 ssl2502 slr1783 sll0797
slr1147-as2;slr1147;NP_440624;NA;81;0;NA;NA;NA;NA;NA;NA;8;no no;sll0797 sll1124 slr1783 sll0021 slr0335 ssl2502 slr1783 sll0797
slr1192;slr1192;NP_443028;35.868;1011;0;NA;NA;NA;NA;NA;NA;3;no no;slr7054 sll0833 sll0647
slr1192-3UTR;slr1192;NP_443028;NA;208;0;NA;NA;NA;NA;NA;NA;3;no no;slr7054 sll0833 sll0647
slr1192-5UTR;slr1192;NP_443028;NA;72;0;NA;NA;NA;NA;NA;NA;3;no no;slr7054 sll0833 sll0647
slr1198;slr1198;NP_440699;23.559;636;0;NA;NA;NA;NA;Soluble proteins;0;13;no no;slr0665 sll1404 sll0446 sll0540 sll1774 slr0723 slr0871 sll0830 slr0697 sll1931 slr2130 sll1477 sll1574
slr1198-5UTR;slr1198;NP_440699;NA;41;0;NA;NA;NA;NA;Soluble proteins;0;13;no no;slr0665 sll1404 sll0446 sll0540 sll1774 slr0723 slr0871 sll0830 slr0697 sll1931 slr2130 sll1477 sll1574
slr1198-as;slr1198;NP_440699;NA;48;0;NA;NA;NA;NA;Soluble proteins;0;13;no no;slr0665 sll1404 sll0446 sll0540 sll1774 slr0723 slr0871 sll0830 slr0697 sll1931 slr2130 sll1477 sll1574
slr1198-as2;slr1198;NP_440699;NA;158;0;NA;NA;NA;NA;Soluble proteins;0;13;no no;slr0665 sll1404 sll0446 sll0540 sll1774 slr0723 slr0871 sll0830 slr0697 sll1931 slr2130 sll1477 sll1574
slr1205;slr1205;NP_440706;12.512;354;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll0238 sll1699 slr1353
slr1205-5UTR;slr1205;NP_440706;NA;142;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll0238 sll1699 slr1353
slr1209;slr1209;NP_440711;12.374;330;0;NA;NA;NA;NA;NA;NA;2;no no;sll1987 slr1210
slr1215;slr1215;NP_440717;NA;669;6;NA;NA;NA;NA;NA;NA;11;no no;sll0590 slr1728 sll1614 slr0594 slr0774 slr1471 sll0932 slr1044 slr2131 slr2036 slr1301
slr1215-3UTR;slr1215;NP_440717;NA;90;6;NA;NA;NA;NA;NA;NA;11;no no;sll0590 slr1728 sll1614 slr0594 slr0774 slr1471 sll0932 slr1044 slr2131 slr2036 slr1301
slr1215-5UTR;slr1215;NP_440717;NA;38;6;NA;NA;NA;NA;NA;NA;11;no no;sll0590 slr1728 sll1614 slr0594 slr0774 slr1471 sll0932 slr1044 slr2131 slr2036 slr1301
slr1243;slr1243;NP_441142;NA;3195;0;NA;NA;NA;NA;unknown;0;3;no no;slr0789 slr2077 slr0244
slr1243-3UTR;slr1243;NP_441142;NA;113;0;NA;NA;NA;NA;unknown;0;3;no no;slr0789 slr2077 slr0244
slr1243-5UTR;slr1243;NP_441142;NA;457;0;NA;NA;NA;NA;unknown;0;3;no no;slr0789 slr2077 slr0244
slr1278;slr1278;NP_441601;NA;993;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll1967 ssl0452 slr0008
slr1285;slr1285;NP_441610;NA;1395;0;NA;NA;NA;NA;unknown;0;5;no no;slr0451 slr8038 slr0066 slr0267 sll1675
slr1287;slr1287;NP_441613;35.927;1011;0;NA;NA;NA;NA;Soluble proteins;0;2;no no;sll0252 slr0348
slr1301;slr1301;NP_440174;61.692;1608;0;10;361;0.673507463;VSL2b;Soluble proteins;0;5;no no;sll0178 sll1507 slr1215 sll1751 sll0982
slr1301-3UTR;slr1301;NP_440174;NA;66;0;10;361;16.40909091;VSL2b;Soluble proteins;0;5;no no;sll0178 sll1507 slr1215 sll1751 sll0982
slr1301-5UTR;slr1301;NP_440174;NA;47;0;10;361;23.04255319;VSL2b;Soluble proteins;0;5;no no;sll0178 sll1507 slr1215 sll1751 sll0982
slr1305;slr1305;NP_440178;96.226;2523;0;13;141;0.167657551;VLXT;PM;0;8;no no;slr0387 slr1600 sll1905 sll0830 slr0399 slr0921 sll0812 slr2104
slr1305-3UTR;slr1305;NP_440178;NA;19;0;13;141;22.26315789;VLXT;PM;0;8;no no;slr0387 slr1600 sll1905 sll0830 slr0399 slr0921 sll0812 slr2104
slr1305-5UTR;slr1305;NP_440178;NA;77;0;13;141;5.493506494;VLXT;PM;0;8;no no;slr0387 slr1600 sll1905 sll0830 slr0399 slr0921 sll0812 slr2104
slr1305-as;slr1305;NP_440178;NA;71;0;13;141;5.957746479;VLXT;PM;0;8;no no;slr0387 slr1600 sll1905 sll0830 slr0399 slr0921 sll0812 slr2104
slr1307;slr1307;NP_440185;NA;588;0;5;30;0.153061224;VLXT;NA;NA;5;no no;slr1227 slr1443 slr1857 slr1993 slr0359
slr1307-as;slr1307;NP_440185;NA;119;0;5;30;0.756302521;VLXT;NA;NA;5;no no;slr1227 slr1443 slr1857 slr1993 slr0359
slr1325;slr1325;NP_441398;86.567;2283;0;NA;NA;NA;NA;unknown;0;3;no no;slr1674 slr0076 slr1203
slr1325-5UTR;slr1325;NP_441398;NA;130;0;NA;NA;NA;NA;unknown;0;3;no no;slr1674 slr0076 slr1203
slr1325-as;slr1325;NP_441398;NA;115;0;NA;NA;NA;NA;unknown;0;3;no no;slr1674 slr0076 slr1203
slr1329;slr1329;NP_441407;51.732;1452;0;NA;NA;NA;NA;unknown;0;5;no no;slr0546 sll0985 slr1909 slr1648 sll1124
slr1329-3UTR;slr1329;NP_441407;NA;10;0;NA;NA;NA;NA;unknown;0;5;no no;slr0546 sll0985 slr1909 slr1648 sll1124
slr1329-5UTR;slr1329;NP_441407;NA;69;0;NA;NA;NA;NA;unknown;0;5;no no;slr0546 sll0985 slr1909 slr1648 sll1124
slr1331;slr1331;NP_441409;56.893;1542;1;NA;NA;NA;NA;Soluble proteins;0;3;no no;slr0602 sll0676 slr1804
slr1350;slr1350;NP_441489;NA;1056;4;NA;NA;NA;NA;NA;NA;3;no no;slr1291 sll1214 slr1239
slr1350-3UTR;slr1350;NP_441489;NA;134;4;NA;NA;NA;NA;NA;NA;3;no no;slr1291 sll1214 slr1239
slr1350-5UTR;slr1350;NP_441489;NA;115;4;NA;NA;NA;NA;NA;NA;3;no no;slr1291 sll1214 slr1239
slr1353;slr1353;NP_441494;31.283;876;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;slr1098 sll1454 ssr3188 slr1205 sll1217
slr1353-3UTR;slr1353;NP_441494;NA;77;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;slr1098 sll1454 ssr3188 slr1205 sll1217
slr1353-5UTR;slr1353;NP_441494;NA;19;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;slr1098 sll1454 ssr3188 slr1205 sll1217
slr1353-as;slr1353;NP_441494;NA;69;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;slr1098 sll1454 ssr3188 slr1205 sll1217
slr1356;slr1356;NP_440890;36.57;987;0;NA;NA;NA;NA;Small ribosomal protein;0;2;no no;slr0923 slr0923
slr1356-5UTR;slr1356;NP_440890;NA;84;0;NA;NA;NA;NA;Small ribosomal protein;0;2;no no;slr0923 slr0923
slr1369;slr1369;NP_440908;NA;882;7;NA;NA;NA;NA;TM;8;4;no no;slr1107 slr2077 sll0861 sll1172
slr1369-3UTR;slr1369;NP_440908;NA;167;7;NA;NA;NA;NA;TM;8;4;no no;slr1107 slr2077 sll0861 sll1172
slr1369-5UTR;slr1369;NP_440908;NA;79;7;NA;NA;NA;NA;TM;8;4;no no;slr1107 slr2077 sll0861 sll1172
slr1400;slr1400;NP_440273;NA;1143;0;21;62;0.162729659;PV2;Soluble proteins;0;4;no no;slr0978 slr1818 sll0474 sll0474
slr1400-5UTR;slr1400;NP_440273;NA;52;0;21;62;3.576923077;PV2;Soluble proteins;0;4;no no;slr0978 slr1818 sll0474 sll0474
slr1400-as;slr1400;NP_440273;NA;71;0;21;62;2.61971831;PV2;Soluble proteins;0;4;no no;slr0978 slr1818 sll0474 sll0474
slr1417;slr1417;NP_440066;12.929;357;1;4;36;0.302521008;VSL2b;unknown;0;4;no no;slr1708 slr0635 sll1568 sll0497
slr1417-3UTR;slr1417;NP_440066;NA;16;1;4;36;6.75;VSL2b;unknown;0;4;no no;slr1708 slr0635 sll1568 sll0497
slr1417-5UTR;slr1417;NP_440066;NA;62;1;4;36;1.741935484;VSL2b;unknown;0;4;no no;slr1708 slr0635 sll1568 sll0497
slr1417-as;slr1417;NP_440066;NA;22;1;4;36;4.909090909;VSL2b;unknown;0;4;no no;slr1708 slr0635 sll1568 sll0497
slr1420;slr1420;NP_442817;46.308;1278;0;NA;NA;NA;NA;unknown;0;5;no no;sll1775 slr0280 sll1104 slr0942 sll0783
slr1431;slr1431;NP_442834;52.88;1428;0;NA;NA;NA;NA;PM;0;13;no no;sll0270 sll0237 sll0454 sll0252 sll2005 slr0209 slr1573 slr1799 slr1064 slr0408 sll1787 ssr1256 sll0053
slr1431-3UTR;slr1431;NP_442834;NA;236;0;NA;NA;NA;NA;PM;0;13;no no;sll0270 sll0237 sll0454 sll0252 sll2005 slr0209 slr1573 slr1799 slr1064 slr0408 sll1787 ssr1256 sll0053
slr1431-5UTR;slr1431;NP_442834;NA;61;0;NA;NA;NA;NA;PM;0;13;no no;sll0270 sll0237 sll0454 sll0252 sll2005 slr0209 slr1573 slr1799 slr1064 slr0408 sll1787 ssr1256 sll0053
slr1431-as;slr1431;NP_442834;NA;20;0;NA;NA;NA;NA;PM;0;13;no no;sll0270 sll0237 sll0454 sll0252 sll2005 slr0209 slr1573 slr1799 slr1064 slr0408 sll1787 ssr1256 sll0053
slr1431-as2;slr1431;NP_442834;NA;42;0;NA;NA;NA;NA;PM;0;13;no no;sll0270 sll0237 sll0454 sll0252 sll2005 slr0209 slr1573 slr1799 slr1064 slr0408 sll1787 ssr1256 sll0053
slr1443;slr1443;NP_440875;NA;1845;0;NA;NA;NA;NA;unknown;0;4;no no;sll1231 slr1064 sll1418 slr1307
slr1519;slr1519;NP_441351;26.541;609;0;NA;NA;NA;NA;Soluble proteins;0;4;no no;slr1176 sll0861 slr1176 slr0351
slr1519-5UTR;slr1519;NP_441351;NA;73;0;NA;NA;NA;NA;Soluble proteins;0;4;no no;slr1176 sll0861 slr1176 slr0351
slr1531;slr1531;NP_441626;52.145;1449;0;NA;NA;NA;NA;Soluble proteins;0;2;no no;sll0536 sll1799
slr1531-3UTR;slr1531;NP_441626;NA;1103;0;NA;NA;NA;NA;Soluble proteins;0;2;no no;sll0536 sll1799
slr1531-5UTR;slr1531;NP_441626;NA;42;0;NA;NA;NA;NA;Soluble proteins;0;2;no no;sll0536 sll1799
slr1545;slr1545;NP_440791;25.621;672;0;NA;NA;NA;NA;NA;NA;6;no no;slr0020 slr0653 slr1546 sll2012 slr1546 slr1759
slr1545-5UTR;slr1545;NP_440791;NA;17;0;NA;NA;NA;NA;NA;NA;6;no no;slr0020 slr0653 slr1546 sll2012 slr1546 slr1759
slr1545-as;slr1545;NP_440791;NA;41;0;NA;NA;NA;NA;NA;NA;6;no no;slr0020 slr0653 slr1546 sll2012 slr1546 slr1759
slr1546;slr1546;NP_440792;NA;639;1;NA;NA;NA;NA;unknown;1;4;no no;slr1545 slr0602 slr1944 slr1545
slr1557;slr1557;NP_442884;40.235;1110;0;NA;NA;NA;NA;unknown;0;6;no no;sll2005 slr1538 slr1129 sll1614 slr1194 slr1129
slr1557-3UTR;slr1557;NP_442884;NA;569;0;NA;NA;NA;NA;unknown;0;6;no no;sll2005 slr1538 slr1129 sll1614 slr1194 slr1129
slr1557-5UTR;slr1557;NP_442884;NA;153;0;NA;NA;NA;NA;unknown;0;6;no no;sll2005 slr1538 slr1129 sll1614 slr1194 slr1129
slr1557-as;slr1557;NP_442884;NA;78;0;NA;NA;NA;NA;unknown;0;6;no no;sll2005 slr1538 slr1129 sll1614 slr1194 slr1129
slr1557-as2;slr1557;NP_442884;NA;39;0;NA;NA;NA;NA;unknown;0;6;no no;sll2005 slr1538 slr1129 sll1614 slr1194 slr1129
slr1567;slr1567;NP_442895;NA;2298;0;NA;NA;NA;NA;NA;NA;3;no no;sll0445 slr1169 slr1809
slr1571;slr1571;NP_442900;25.003;681;0;NA;NA;NA;NA;PM;0;2;no no;sll1231 sll0310
slr1573;slr1573;NP_442902;29.113;789;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll1231 sll1599 slr1431
slr1573-3UTR;slr1573;NP_442902;NA;704;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll1231 sll1599 slr1431
slr1573-5UTR;slr1573;NP_442902;NA;128;0;NA;NA;NA;NA;Soluble proteins;0;3;no no;sll1231 sll1599 slr1431
slr1584;slr1584;NP_442923;26.367;705;0;NA;NA;NA;NA;unknown;0;8;no no;slr0311 sll1277 sll1475 slr0457 sll0169 sll1356 slr1732 sll1475
slr1584-5UTR;slr1584;NP_442923;NA;24;0;NA;NA;NA;NA;unknown;0;8;no no;slr0311 sll1277 sll1475 slr0457 sll0169 sll1356 slr1732 sll1475
slr1590;slr1590;NP_440306;32.604;888;0;3;44;0.148648649;PrDOS;unknown;0;2;no no;slr0695 sll1399
slr1591;slr1591;NP_440307;NA;1149;0;9;22;0.057441253;PV2;TM;0;7;no no;sll0021 slr1854 sll1908 slr0179 sll1299 sll0788 slr1974
slr1591-as;slr1591;NP_440307;NA;69;0;9;22;0.956521739;PV2;TM;0;7;no no;sll0021 slr1854 sll1908 slr0179 sll1299 sll0788 slr1974
slr1595;slr1595;NP_440311;NA;1233;10;20;287;0.698296837;PV2;NA;NA;4;no no;sll0779 sll1614 slr1471 sll0732
slr1604;slr1604;NP_440330;67.25;1851;2;14;203;0.329011345;VLXT;TM;2;6;no no;slr0152 sll0735 slr1343 slr1774 sll1427 sll0606
slr1604-3UTR;slr1604;NP_440330;NA;74;2;14;203;8.22972973;VLXT;TM;2;6;no no;slr0152 sll0735 slr1343 slr1774 sll1427 sll0606
slr1604-5UTR;slr1604;NP_440330;NA;79;2;14;203;7.708860759;VLXT;TM;2;6;no no;slr0152 sll0735 slr1343 slr1774 sll1427 sll0606
slr1608;slr1608;NP_440341;45.119;1239;0;24;157;0.380145278;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1608-3UTR;slr1608;NP_440341;NA;106;0;24;157;4.443396226;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1608-5UTR;slr1608;NP_440341;NA;27;0;24;157;17.44444444;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1608-as;slr1608;NP_440341;NA;172;0;24;157;2.738372093;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1608-as2;slr1608;NP_440341;NA;108;0;24;157;4.361111111;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1608-as3;slr1608;NP_440341;NA;55;0;24;157;8.563636364;PV2;PM;0;4;no no;sll0861 slr1708 slr0747 slr0210
slr1609;slr1609;NP_440344;77.663;2091;0;10;173;0.2482066;VLXT;NA;NA;3;no no;slr1222 sll0418 sll0354
slr1609-as;slr1609;NP_440344;NA;111;0;10;173;4.675675676;VLXT;NA;NA;3;no no;slr1222 sll0418 sll0354
slr1609-as2;slr1609;NP_440344;NA;88;0;10;173;5.897727273;VLXT;NA;NA;3;no no;slr1222 sll0418 sll0354
slr1641;slr1641;NP_441776;98.121;2619;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;sll1193 slr0257 sll0413 sll1679 sll1749
slr1641-3UTR;slr1641;NP_441776;NA;197;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;sll1193 slr0257 sll0413 sll1679 sll1749
slr1641-5UTR;slr1641;NP_441776;NA;41;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;sll1193 slr0257 sll0413 sll1679 sll1749
slr1641-as;slr1641;NP_441776;NA;27;0;NA;NA;NA;NA;Soluble proteins;0;5;no no;sll1193 slr0257 sll0413 sll1679 sll1749
slr1644;slr1644;NP_441781;31.297;873;1;NA;NA;NA;NA;unknown;1;12;no no;slr1710 sll0142 slr0971 sll1858 sll0776 sll0752 sll0169 sll0322 sll1942 slr0602 slr0232 slr0506
slr1644-3UTR;slr1644;NP_441781;NA;44;1;NA;NA;NA;NA;unknown;1;12;no no;slr1710 sll0142 slr0971 sll1858 sll0776 sll0752 sll0169 sll0322 sll1942 slr0602 slr0232 slr0506
slr1644-5UTR;slr1644;NP_441781;NA;26;1;NA;NA;NA;NA;unknown;1;12;no no;slr1710 sll0142 slr0971 sll1858 sll0776 sll0752 sll0169 sll0322 sll1942 slr0602 slr0232 slr0506
slr1656;slr1656;NP_442963;39.962;1116;0;NA;NA;NA;NA;TM;0;3;no no;slr1222 slr0876 sll1214
slr1674;slr1674;NP_441676;NA;351;0;NA;NA;NA;NA;NA;NA;3;no no;sll1939 sll0228 slr1325
slr1674-5UTR;slr1674;NP_441676;NA;56;0;NA;NA;NA;NA;NA;NA;3;no no;sll1939 sll0228 slr1325
slr1697;slr1697;NP_441711;63.079;1725;0;NA;NA;NA;NA;unknown;0;4;no no;sll1394 slr0321 sll0616 ssr2781
slr1697-3UTR;slr1697;NP_441711;NA;326;0;NA;NA;NA;NA;unknown;0;4;no no;sll1394 slr0321 sll0616 ssr2781
slr1697-5UTR;slr1697;NP_441711;NA;97;0;NA;NA;NA;NA;unknown;0;4;no no;sll1394 slr0321 sll0616 ssr2781
slr1697-as;slr1697;NP_441711;NA;60;0;NA;NA;NA;NA;unknown;0;4;no no;sll1394 slr0321 sll0616 ssr2781
slr1702;slr1702;NP_440546;27.287;756;0;NA;NA;NA;NA;unknown;0;6;no no;sll1874 slr1596 sll1689 sll2012 slr0317 sll1186
slr1702-5UTR;slr1702;NP_440546;NA;27;0;NA;NA;NA;NA;unknown;0;6;no no;sll1874 slr1596 sll1689 sll2012 slr0317 sll1186
slr1753;slr1753;NP_440372;185.06;5250;0;28;622;0.355428571;PrDOS;Soluble proteins;0;2;no no;sll0191 sll0798
slr1753-3UTR;slr1753;NP_440372;NA;118;0;28;622;15.81355932;PrDOS;Soluble proteins;0;2;no no;sll0191 sll0798
slr1753-5UTR;slr1753;NP_440372;NA;27;0;28;622;69.11111111;PrDOS;Soluble proteins;0;2;no no;sll0191 sll0798
slr1753-as;slr1753;NP_440372;NA;98;0;28;622;19.04081633;PrDOS;Soluble proteins;0;2;no no;sll0191 sll0798
slr1756;slr1756;NP_440375;52.999;1422;0;NA;NA;NA;NA;unknown;0;4;no no;sll1452 sll1515 slr0292 sll1219
slr1756-3UTR;slr1756;NP_440375;NA;172;0;NA;NA;NA;NA;unknown;0;4;no no;sll1452 sll1515 slr0292 sll1219
slr1756-5UTR;slr1756;NP_440375;NA;48;0;NA;NA;NA;NA;unknown;0;4;no no;sll1452 sll1515 slr0292 sll1219
slr1759;slr1759;NP_440376;NA;4389;2;NA;NA;NA;NA;NA;NA;9;no no;sll0288 slr1617 slr1594 ssl2814 slr1545 slr1139 sll0809 sll1098 slr1760
slr1760;slr1760;NP_440377;35.479;948;0;NA;NA;NA;NA;NA;NA;3;no no;slr1812 ssl3142 slr1759
slr1760-5UTR;slr1760;NP_440377;NA;88;0;NA;NA;NA;NA;NA;NA;3;no no;slr1812 ssl3142 slr1759
slr1773;slr1773;NP_440103;28.885;777;0;10;48;0.185328185;PV2;Soluble proteins;0;7;no no;slr1795 sll1917 slr0938 sll1921 sll0242 slr0394 sll0141
slr1774;slr1774;NP_440104;NA;870;1;4;184;0.634482759;PV2;unknown;0;7;no no;sll0021 slr0993 slr1604 slr0551 slr0191 sll0702 ssl0109
slr1777;slr1777;NP_440107;73.665;2031;0;11;266;0.392909897;VLXT;unknown;0;5;no no;sll1715 slr1030 sll0173 slr0322 slr0204
slr1777-5UTR;slr1777;NP_440107;NA;44;0;11;266;18.13636364;VLXT;unknown;0;5;no no;sll1715 slr1030 sll0173 slr0322 slr0204
slr1778;slr1778;NP_440108;NA;534;0;3;46;0.258426966;PrDOS;unknown;0;4;no no;sll0995 slr0872 slr0551 ssr2975
slr1783;slr1783;NP_440116;31.395;849;0;4;90;0.318021201;PrDOS;Soluble proteins;0;4;no no;slr1208 slr1147 sll1433 slr1147
slr1783-as;slr1783;NP_440116;NA;66;0;4;90;4.090909091;PrDOS;Soluble proteins;0;4;no no;slr1208 slr1147 sll1433 slr1147
slr1783-as2;slr1783;NP_440116;NA;93;0;4;90;2.903225806;PrDOS;Soluble proteins;0;4;no no;slr1208 slr1147 sll1433 slr1147
slr1800;slr1800;NP_440149;39.406;1068;0;7;172;0.483146067;VLXT;Soluble proteins;0;5;no no;sll0041 slr0288 slr0869 sll0447 sll0872
